phenotype,peak_value,lower_bound,upper_bound,n_patients
lisinopril__mean_dose,19751.042442890706,14904.946500707738,65950.49042503504,491
pravastatin__mean_dose,10250.361197110424,2105.2631578947367,14965.94427244582,885
pravastatin__mean_dose,19681.52734778122,14965.94427244582,29970.072239422087,696
pravastatin__mean_dose,40258.61713106296,29970.072239422087,87843.13725490196,566
ondansetron__max_dose,3995.97423510467,1159.4202898550725,6038.29307568438,352
ondansetron__max_dose,8080.61191626409,6038.29307568438,23851.85185185185,184
sumatriptan__max_dose,21020.089285714283,1875.0,35059.82142857142,155
sumatriptan__max_dose,49099.553571428565,35059.82142857142,74626.33928571428,3958
sumatriptan__max_dose,100153.12499999999,74626.33928571428,257142.85714285713,1578
almotriptan__max_dose,12472.92641237855,1303.5264483627204,21428.571428571428,323
midazolam__max_dose,10109.396914446002,869.5652173913044,41935.48387096774,310
fentanyl__max_dose,14.128767123287671,1.8461538461538463,493.1506849315069,386
terazosin__max_dose,2034.4088552326377,357.14285714285717,16331.104743712194,69
flecainide__max_dose,50146.710231276826,15503.875968992248,75673.00916138125,109
flecainide__max_dose,101199.30809148567,75673.00916138125,380165.28925619833,125
verapamil__max_dose,123043.82168068853,33185.18518518518,182949.57934435742,213
verapamil__max_dose,242855.33700802634,182949.57934435742,888981.723237598,151
